                                                            Autonomous System (AS) Numbers

   Last Updated
           2015-06-11

   Note

 Autonomous System (AS) Numbers are used by various routing protocols. IANA allocates
 AS Numbers to Regional Internet Registries (RIRs). The RIRs further allocate or assign AS
 Numbers to network operators in line with RIR policies. The [five RIRs] are:

 - [AFRINIC]
 - [APNIC]
 - [ARIN]
 - [LACNIC]
 - [RIPE_NCC]

 AS Numbers can be obtained from the registry in your region.

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registries included below

     * 16-bit Autonomous System Numbers
     * 32-bit Autonomous System Numbers

16-bit Autonomous System Numbers

   Registration Procedure(s)

 RIR request to the IANA or IETF Review. Allocated following the Global Policy published at
 [http://www.icann.org/en/resources/policy/global-addressing].

   Reference
           [RFC1930][RFC5398][RFC6996][RFC7249]

   Available Formats
           [IMG]
           CSV

     Number                       Description                          WHOIS       RDAP       Reference       Registration Date
        0      Reserved                                                                 [RFC-ietf-idr-as0-06]
       1-6     Assigned by ARIN                                  whois.arin.net
        7      Assigned by RIPE NCC                              whois.ripe.net
      8-27     Assigned by ARIN                                  whois.arin.net
       28      Assigned by RIPE NCC                              whois.ripe.net
     29-136    Assigned by ARIN                                  whois.arin.net
       137     Assigned by RIPE NCC                              whois.ripe.net
     138-172   Assigned by ARIN                                  whois.arin.net
       173     Assigned by APNIC                                 whois.apnic.net
     174-223   Assigned by ARIN                                  whois.arin.net
       224     Assigned by RIPE NCC                              whois.ripe.net
     225-247   Assigned by ARIN                                  whois.arin.net
     248-251   Assigned by RIPE NCC                              whois.ripe.net
     252-260   Assigned by ARIN                                  whois.arin.net
       261     Assigned by RIPE NCC                              whois.ripe.net
     262-277   Assigned by ARIN                                  whois.arin.net
       278     Assigned by LACNIC                                whois.lacnic.net
     279-285   Assigned by ARIN                                  whois.arin.net
       286     Assigned by RIPE NCC                              whois.ripe.net
       287     Assigned by ARIN                                  whois.arin.net
       288     Assigned by RIPE NCC                              whois.ripe.net
     289-293   Assigned by ARIN                                  whois.arin.net
       294     Assigned by RIPE NCC                              whois.ripe.net
     295-374   Assigned by ARIN                                  whois.arin.net
       375     Assigned by RIPE NCC                              whois.ripe.net
     376-377   Assigned by ARIN                                  whois.arin.net
       378     Assigned by RIPE NCC                              whois.ripe.net
     379-512   Assigned by ARIN                                  whois.arin.net
       513     Assigned by RIPE NCC                              whois.ripe.net
     514-516   Assigned by ARIN                                  whois.arin.net
       517     Assigned by RIPE NCC                              whois.ripe.net
     518-527   Assigned by ARIN                                  whois.arin.net
     528-529   Assigned by RIPE NCC                              whois.ripe.net
     530-539   Assigned by ARIN                                  whois.arin.net
       540     Assigned by ARIN                                  whois.arin.net
     541-543   Assigned by ARIN                                  whois.arin.net
       544     Assigned by RIPE NCC                              whois.ripe.net
     545-552   Assigned by ARIN                                  whois.arin.net
       553     Assigned by RIPE NCC                              whois.ripe.net
     554-558   Assigned by ARIN                                  whois.arin.net
       559     Assigned by RIPE NCC                              whois.ripe.net
     560-564   Assigned by ARIN                                  whois.arin.net
       565     Assigned by RIPE NCC                              whois.ripe.net
     566-579   Assigned by ARIN                                  whois.arin.net
       580     Assigned by ARIN                                  whois.arin.net
     581-589   Assigned by ARIN                                  whois.arin.net
       590     Assigned by RIPE NCC                              whois.ripe.net
     591-592   Assigned by ARIN                                  whois.arin.net
       593     Assigned by RIPE NCC                              whois.ripe.net
     594-668   Assigned by ARIN                                  whois.arin.net
       669     Assigned by RIPE NCC                              whois.ripe.net
     670-675   Assigned by ARIN                                  whois.arin.net
       676     Assigned by LACNIC                                whois.lacnic.net
     677-678   Assigned by ARIN                                  whois.arin.net
     679-680   Assigned by RIPE NCC                              whois.ripe.net
       681     Assigned by APNIC                                 whois.apnic.net
     682-694   Assigned by ARIN                                  whois.arin.net
     695-697   Assigned by RIPE NCC                              whois.ripe.net
     698-708   Assigned by ARIN                                  whois.arin.net
     709-710   Assigned by RIPE NCC                              whois.ripe.net
       711     Assigned by ARIN                                  whois.arin.net
       712     Assigned by RIPE NCC                              whois.ripe.net
     713-718   Assigned by ARIN                                  whois.arin.net
       719     Assigned by RIPE NCC                              whois.ripe.net
     720-759   Assigned by ARIN                                  whois.arin.net
     760-761   Assigned by RIPE NCC                              whois.ripe.net
     762-763   Assigned by ARIN                                  whois.arin.net
       764     Assigned by RIPE NCC                              whois.ripe.net
       765     Assigned by ARIN                                  whois.arin.net
       766     Assigned by RIPE NCC                              whois.ripe.net
     767-773   Assigned by ARIN                                  whois.arin.net
     774-783   Assigned by RIPE NCC                              whois.ripe.net
     784-785   Assigned by ARIN                                  whois.arin.net
       786     Assigned by RIPE NCC                              whois.ripe.net
     787-788   Assigned by ARIN                                  whois.arin.net
     789-790   Assigned by RIPE NCC                              whois.ripe.net
    791-1100   Assigned by ARIN                                  whois.arin.net
    1101-1200  Assigned by RIPE NCC                              whois.ripe.net
    1201-1202  Assigned by ARIN                                  whois.arin.net
      1203     Assigned by RIPE NCC                              whois.ripe.net
      1204     Assigned by ARIN                                  whois.arin.net
      1205     Assigned by RIPE NCC                              whois.ripe.net
    1206-1212  Assigned by ARIN                                  whois.arin.net
      1213     Assigned by RIPE NCC                              whois.ripe.net
    1214-1220  Assigned by ARIN                                  whois.arin.net
      1221     Assigned by APNIC                                 whois.apnic.net
    1222-1227  Assigned by ARIN                                  whois.arin.net
    1228-1232  Assigned by AFRINIC                               whois.afrinic.net
      1233     Assigned by APNIC                                 whois.apnic.net
    1234-1235  Assigned by RIPE NCC                              whois.ripe.net
      1236     Assigned by ARIN                                  whois.arin.net
      1237     Assigned by APNIC                                 whois.apnic.net
    1238-1240  Assigned by ARIN                                  whois.arin.net
      1241     Assigned by RIPE NCC                              whois.ripe.net
    1242-1247  Assigned by ARIN                                  whois.arin.net
      1248     Assigned by RIPE NCC                              whois.ripe.net
      1249     Assigned by ARIN                                  whois.arin.net
      1250     Assigned by APNIC                                 whois.apnic.net
      1251     Assigned by LACNIC                                whois.lacnic.net
      1252     Assigned by ARIN                                  whois.arin.net
      1253     Assigned by RIPE NCC                              whois.ripe.net
    1254-1256  Assigned by ARIN                                  whois.arin.net
      1257     Assigned by RIPE NCC                              whois.ripe.net
    1258-1266  Assigned by ARIN                                  whois.arin.net
    1267-1275  Assigned by RIPE NCC                              whois.ripe.net
    1276-1278  Assigned by ARIN                                  whois.arin.net
      1279     Assigned by RIPE NCC                              whois.ripe.net
    1280-1289  Assigned by ARIN                                  whois.arin.net
      1290     Assigned by RIPE NCC                              whois.ripe.net
      1291     Assigned by ARIN                                  whois.arin.net
      1292     Assigned by LACNIC                                whois.lacnic.net
    1293-1295  Assigned by ARIN                                  whois.arin.net
      1296     Assigned by LACNIC                                whois.lacnic.net
      1297     Assigned by RIPE NCC                              whois.ripe.net
      1298     Assigned by ARIN                                  whois.arin.net
    1299-1309  Assigned by RIPE NCC                              whois.ripe.net
    1310-1317  Assigned by ARIN                                  whois.arin.net
      1318     Assigned by RIPE NCC                              whois.ripe.net
    1319-1341  Assigned by ARIN                                  whois.arin.net
      1342     Assigned by RIPE NCC                              whois.ripe.net
    1343-1351  Assigned by ARIN                                  whois.arin.net
    1352-1353  Assigned by RIPE NCC                              whois.ripe.net
    1354-1546  Assigned by ARIN                                  whois.arin.net
    1547-1547  Assigned by RIPE NCC                              whois.ripe.net
    1548-1652  Assigned by ARIN                                  whois.arin.net
    1653-1654  Assigned by RIPE NCC                              whois.ripe.net
    1655-1657  Assigned by ARIN                                  whois.arin.net
      1658     Assigned by ARIN                                  whois.arin.net
      1659     Assigned by APNIC                                 whois.apnic.net
    1660-1662  Assigned by ARIN                                  whois.arin.net
      1663     Assigned by RIPE NCC                              whois.ripe.net
    1664-1679  Assigned by ARIN                                  whois.arin.net
      1680     Assigned by RIPE NCC                              whois.ripe.net
    1681-1703  Assigned by ARIN                                  whois.arin.net
      1704     Assigned by APNIC                                 whois.apnic.net
    1705-1706  Assigned by ARIN                                  whois.arin.net
    1707-1726  Assigned by RIPE NCC                              whois.ripe.net
    1727-1728  Assigned by ARIN                                  whois.arin.net
      1729     Assigned by RIPE NCC                              whois.ripe.net
    1730-1731  Assigned by ARIN                                  whois.arin.net
      1732     Assigned by RIPE NCC                              whois.ripe.net
    1733-1737  Assigned by ARIN                                  whois.arin.net
    1738-1739  Assigned by RIPE NCC                              whois.ripe.net
      1740     Assigned by ARIN                                  whois.arin.net
      1741     Assigned by RIPE NCC                              whois.ripe.net
    1742-1747  Assigned by ARIN                                  whois.arin.net
      1748     Assigned by RIPE NCC                              whois.ripe.net
    1749-1751  Assigned by ARIN                                  whois.arin.net
      1752     Assigned by RIPE NCC                              whois.ripe.net
      1753     Assigned by ARIN                                  whois.arin.net
    1754-1756  Assigned by RIPE NCC                              whois.ripe.net
    1757-1758  Assigned by ARIN                                  whois.arin.net
      1759     Assigned by RIPE NCC                              whois.ripe.net
    1760-1763  Assigned by ARIN                                  whois.arin.net
      1764     Assigned by RIPE NCC                              whois.ripe.net
    1765-1767  Assigned by ARIN                                  whois.arin.net
    1768-1769  Assigned by APNIC                                 whois.apnic.net
    1770-1771  Assigned by RIPE NCC                              whois.ripe.net
    1772-1773  Assigned by ARIN                                  whois.arin.net
      1774     Assigned by RIPE NCC                              whois.ripe.net
      1775     Assigned by ARIN                                  whois.arin.net
      1776     Assigned by RIPE NCC                              whois.ripe.net
    1777-1779  Assigned by ARIN                                  whois.arin.net
      1780     Assigned by RIPE NCC                              whois.ripe.net
      1781     Assigned by APNIC                                 whois.apnic.net
    1782-1796  Assigned by ARIN                                  whois.arin.net
      1797     Assigned by LACNIC                                whois.lacnic.net
    1798-1830  Assigned by ARIN                                  whois.arin.net
      1831     Assigned by LACNIC                                whois.lacnic.net
      1832     Assigned by ARIN                                  whois.arin.net
      1833     Assigned by RIPE NCC                              whois.ripe.net
      1834     Assigned by ARIN                                  whois.arin.net
    1835-1837  Assigned by RIPE NCC                              whois.ripe.net
    1838-1839  Assigned by ARIN                                  whois.arin.net
      1840     Assigned by LACNIC                                whois.lacnic.net
      1841     Assigned by RIPE NCC                              whois.ripe.net
    1842-1848  Assigned by ARIN                                  whois.arin.net
    1849-1850  Assigned by RIPE NCC                              whois.ripe.net
      1851     Assigned by APNIC                                 whois.apnic.net
      1852     Assigned by ARIN                                  whois.arin.net
    1853-1854  Assigned by RIPE NCC                              whois.ripe.net
    1855-1876  Assigned by ARIN                                  whois.arin.net
    1877-1901  Assigned by RIPE NCC                              whois.ripe.net
    1902-1903  Assigned by RIPE NCC                              whois.ripe.net
    1904-1915  Assigned by ARIN                                  whois.arin.net
      1916     Assigned by LACNIC                                whois.lacnic.net
    1917-1920  Assigned by ARIN                                  whois.arin.net
    1921-1923  Assigned by RIPE NCC                              whois.ripe.net
    1924-1925  Assigned by ARIN                                  whois.arin.net
      1926     Assigned by RIPE NCC                              whois.ripe.net
    1927-1929  Assigned by ARIN                                  whois.arin.net
      1930     Assigned by RIPE NCC                              whois.ripe.net
    1931-1934  Assigned by ARIN                                  whois.arin.net
    1935-1955  Assigned by RIPE NCC                              whois.ripe.net
    1956-1959  Assigned by ARIN                                  whois.arin.net
    1960-1962  Assigned by RIPE NCC                              whois.ripe.net
    1963-1966  Assigned by ARIN                                  whois.arin.net
      1967     Assigned by RIPE NCC                              whois.ripe.net
    1968-2003  Assigned by ARIN                                  whois.arin.net
      2004     Assigned by RIPE NCC                              whois.ripe.net
    2005-2011  Assigned by ARIN                                  whois.arin.net
      2012     Assigned by RIPE NCC                              whois.ripe.net
    2013-2015  Assigned by ARIN                                  whois.arin.net
    2016-2017  Assigned by RIPE NCC                              whois.ripe.net
      2018     Assigned by AFRINIC                               whois.afrinic.net
    2019-2025  Assigned by ARIN                                  whois.arin.net
    2026-2029  Assigned by RIPE NCC                              whois.ripe.net
    2030-2035  Assigned by ARIN                                  whois.arin.net
      2036     Assigned by RIPE NCC                              whois.ripe.net
      2037     Assigned by ARIN                                  whois.arin.net
    2038-2040  Assigned by RIPE NCC                              whois.ripe.net
      2041     Assigned by ARIN                                  whois.arin.net
      2042     Assigned by APNIC                                 whois.apnic.net
      2043     Assigned by RIPE NCC                              whois.ripe.net
      2044     Assigned by ARIN                                  whois.arin.net
      2045     Assigned by RIPE NCC                              whois.ripe.net
      2046     Assigned by ARIN                                  whois.arin.net
      2047     Assigned by RIPE NCC                              whois.ripe.net
      2048     Assigned by ARIN                                  whois.arin.net
      2049     Assigned by RIPE NCC                              whois.ripe.net
    2050-2056  Assigned by ARIN                                  whois.arin.net
    2057-2106  Assigned by RIPE NCC                              whois.ripe.net
    2107-2136  Assigned by RIPE NCC                              whois.ripe.net
    2137-2143  Assigned by ARIN                                  whois.arin.net
      2144     Assigned by APNIC                                 whois.apnic.net
      2145     Assigned by ARIN                                  whois.arin.net
      2146     Assigned by LACNIC                                whois.lacnic.net
    2147-2148  Assigned by RIPE NCC                              whois.ripe.net
    2149-2173  Assigned by ARIN                                  whois.arin.net
    2174-2273  Assigned by RIPE NCC                              whois.ripe.net
    2274-2276  Assigned by ARIN                                  whois.arin.net
      2277     Assigned by LACNIC                                whois.lacnic.net
    2278-2377  Assigned by RIPE NCC                              whois.ripe.net
    2378-2379  Assigned by ARIN                                  whois.arin.net
      2380     Assigned by RIPE NCC                              whois.ripe.net
    2381-2384  Assigned by ARIN                                  whois.arin.net
      2385     Assigned by APNIC                                 whois.apnic.net
      2386     Assigned by ARIN                                  whois.arin.net
    2387-2488  Assigned by RIPE NCC                              whois.ripe.net
    2489-2493  Assigned by ARIN                                  whois.arin.net
      2494     Assigned by RIPE NCC                              whois.ripe.net
    2495-2496  Assigned by ARIN                                  whois.arin.net
    2497-2528  Assigned by APNIC                                 whois.apnic.net
    2529-2530  Assigned by RIPE NCC                              whois.ripe.net
    2531-2536  Assigned by ARIN                                  whois.arin.net
      2537     Assigned by APNIC                                 whois.apnic.net
    2538-2540  Assigned by ARIN                                  whois.arin.net
      2541     Assigned by RIPE NCC                              whois.ripe.net
    2542-2545  Assigned by ARIN                                  whois.arin.net
    2546-2547  Assigned by RIPE NCC                              whois.ripe.net
      2548     Assigned by ARIN                                  whois.arin.net
      2549     Assigned by LACNIC                                whois.lacnic.net
    2550-2553  Assigned by ARIN                                  whois.arin.net
      2554     Assigned by APNIC                                 whois.apnic.net
    2555-2560  Assigned by ARIN                                  whois.arin.net
      2561     Assigned by AFRINIC                               whois.afrinic.net
      2562     Assigned by ARIN                                  whois.arin.net
      2563     Assigned by APNIC                                 whois.apnic.net
    2564-2568  Assigned by ARIN                                  whois.arin.net
    2569-2570  Assigned by APNIC                                 whois.apnic.net
    2571-2577  Assigned by ARIN                                  whois.arin.net
      2578     Assigned by RIPE NCC                              whois.ripe.net
    2579-2584  Assigned by ARIN                                  whois.arin.net
    2585-2614  Assigned by RIPE NCC                              whois.ripe.net
    2615-2637  Assigned by ARIN                                  whois.arin.net
      2638     Assigned by LACNIC                                whois.lacnic.net
    2639-2642  Assigned by ARIN                                  whois.arin.net
      2643     Assigned by RIPE NCC                              whois.ripe.net
    2644-2646  Assigned by ARIN                                  whois.arin.net
      2647     Assigned by RIPE NCC                              whois.ripe.net
    2648-2682  Assigned by ARIN                                  whois.arin.net
      2683     Assigned by RIPE NCC                              whois.ripe.net
    2684-2696  Assigned by ARIN                                  whois.arin.net
      2697     Assigned by APNIC                                 whois.apnic.net
    2698-2705  Assigned by ARIN                                  whois.arin.net
      2706     Assigned by APNIC                                 whois.apnic.net
      2707     Assigned by ARIN                                  whois.arin.net
