                                                  Language Subtag Registry - Registration Templates

   Last Updated
           2018-11-30

   Registration Procedure(s)

 IESG-Appointed Language Subtag Reviewer

   Reference
           [RFC5646]

   Note

 [RFC5646] defines an IANA-maintained registry of language subtags, which
 is available at [IANA registry language-subtag-registry]. The
 following is the archive of language subtag registration templates.


   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Available Formats
           [IMG]
           CSV

       Type           Subtag              Template            Date
   language      aam               aam.txt                 2015-02-18
   language      abd               abd.txt                 2010-03-24
   language      abp               abp.txt                 2010-03-24
   language      add               add.txt                 2018-03-20
   language      adp               adp.txt                 2015-02-18
   language      aee               aee.txt                 2015-02-18
   language      afa               afa.txt                 2009-04-07
   language      afi               afi.txt                 2014-03-13
   language      agp               agp.txt                 2010-03-24
   language      agv               agv.txt                 2010-03-24
   language      aja               aja.txt                 2018-03-20
   language      ajn               ajn.txt                 2012-08-27
   language      amg               amg.txt                 2012-08-27
   language      anl               anl.txt                 2012-08-27
   language      aot               aot.txt                 2015-02-18
   language      aot               aot-2015-04-06.txt      2015-06-01
   language      aou               aou.txt                 2012-08-27
   language      apf               apf.txt                 2010-03-24
   language      apo               apo.txt                 2011-08-24
   language      aqd               aqd.txt                 2011-08-24
   language      aqt               aqt.txt                 2014-03-13
   language      aqz               aqz.txt                 2010-03-24
   language      art               art.txt                 2009-04-07
   language      asf               asf.txt                 2018-03-20
   language      asj               asj.txt                 2013-09-23
   language      ato               ato.txt                 2015-06-01
   language      aue               aue.txt                 2015-02-18
   language      aue               aue-2018-10-28.txt      2018-10-31
   language      avm               avm.txt                 2012-08-27
   language      awg               awg.txt                 2012-08-27
   language      axe               axe.txt                 2012-08-27
   language      axl               axl.txt                 2013-09-23
   language      axx               axx.txt                 2013-09-23
   language      ayt               ayt.txt                 2010-03-24
   language      ayx               ayx.txt                 2011-08-24
   language      azd               azd.txt                 2012-08-27
   language      azn               azn.txt                 2012-08-27
   language      bat               bat.txt                 2009-04-07
   language      baz               baz.txt                 2012-08-27
   language      bcg               bcg.txt                 2016-06-10
   language      bcl               bcl.txt                 2012-08-27
   language      bdf               bdf.txt                 2010-03-24
   language      bdh               bdh.txt                 2018-03-20
   language      bdj               bdj.txt                 2018-03-20
   language      ber               ber.txt                 2009-04-07
   language      bfc               bfc.txt                 2014-03-13
   language      bfx               bfx.txt                 2010-03-24
   language      bgm               bgm.txt                 2016-06-10
   language      bh                bh.txt                  2009-09-22
   language      bhk               bhk.txt                 2010-03-24
   language      bib               bib.txt                 2011-08-24
   language      bjd               bjd.txt                 2012-08-27
   language      bjp               bjp.txt                 2013-09-23
   language      bjq               bjq.txt                 2011-08-24
   language      bkb               bkb.txt                 2010-03-24
   language      bkd               bkd.txt                 2010-03-24
   language      bks               bks.txt                 2010-03-24
   language      bkw               bkw.txt                 2011-08-24
   language      blk               blk.txt                 2012-08-27
   language      blm               blm.txt                 2018-03-20
   language      bln               bln.txt                 2012-08-27
   language      blv               blv.txt                 2017-03-03
   language      bmf               bmf.txt                 2017-03-03
   language      bmu               bmu.txt                 2011-08-24
   language      bmy               bmy.txt                 2015-02-18
   language      bn                bn.txt                  2017-01-19
   language      bnc               bnc.txt                 2010-03-24
   language      bnt               bnt.txt                 2009-04-07
   language      bpa               bpa.txt                 2013-09-23
   language      bpk               bpk.txt                 2013-09-23
   language      bqc               bqc.txt                 2013-09-23
   language      bqv               bqv.txt                 2012-08-27
   language      btb               btb.txt                 2010-03-24
   language      btl               btl.txt                 2016-06-10
   language      bto               bto.txt                 2010-03-24
   language      bvp               bvp.txt                 2013-09-23
   language      bvy               bvy.txt                 2010-03-24
   language      bxa               bxa.txt                 2013-09-23
   language      bxf               bxf.txt                 2013-09-23
   language      bxx               bxx.txt                 2015-02-18
   language      byh               byh.txt                 2010-03-24
   language      byr               byr.txt                 2012-08-27
   language      byy               byy.txt                 2015-02-18
   language      bzc               bzc.txt                 2011-08-24
   language      bzc               bzc-2012-08-27.txt      2012-08-27
   language      bzv               bzv.txt                 2013-09-23
   language      bzx               bzx.txt                 2011-08-24
   language      cai               cai.txt                 2009-04-07
   language      cau               cau.txt                 2009-04-07
   language      cbe               cbe.txt                 2016-06-10
   language      cbh               cbh.txt                 2016-06-10
   language      cbq               cbq.txt                 2015-02-18
   language      cbw               cbw.txt                 2010-03-24
   language      ccq               ccq.txt                 2012-08-27
   language      cek               cek.txt                 2012-08-27
   language      cir               cir.txt                 2013-09-23
   language      cjr               cjr.txt                 2010-03-24
   language      cka               cka.txt                 2012-08-27
   language      ckn               ckn.txt                 2013-09-23
   language      clj               clj.txt                 2012-08-27
   language      clt               clt.txt                 2012-08-27
   language      cmk               cmk.txt                 2010-03-24
   language      cmr               cmr.txt                 2012-08-27
   language      cnh               cnh.txt                 2016-06-10
   language      cnr               cnr.txt                 2018-01-25
   language      coy               coy.txt                 2016-06-10
   language      cpe               cpe.txt                 2009-01-13
   language      cpe               cpe-20090407.txt        2009-04-07
   language      cpf               cpf.txt                 2009-04-07
   language      cpo               cpo.txt                 2013-09-23
   language      cpp               cpp.txt                 2009-04-07
   language      cqu               cqu.txt                 2016-06-10
   language      crp               crp.txt                 2009-04-07
   language      csj               csj.txt                 2013-09-23
   language      csv               csv.txt                 2012-08-27
   language      cth               cth.txt                 2012-08-27
   language      cts               cts.txt                 2012-08-27
   language      cug               cug.txt                 2017-03-03
   language      cum               cum.txt                 2016-06-10
   language      cus               cus.txt                 2009-04-07
   language      cuy               cuy.txt                 2018-03-20
   language      daf               daf.txt                 2013-09-23
   language      dap               dap.txt                 2012-08-27
   language      dba               dba.txt                 2013-09-23
   language      dbt               dbt.txt                 2012-08-27
   language      dbw               dbw.txt                 2012-08-27
   language      dda               dda.txt                 2012-08-27
   language      ddi               ddi.txt                 2010-03-24
   language      ddr               ddr.txt                 2012-08-27
   language      dgl               dgl.txt                 2012-08-27
   language      dgt               dgt-20130923.txt        2013-09-23
   language      dgw               dgw.txt                 2012-08-27
   language      dha               dha.txt                 2011-08-24
   language      dhg               dhg.txt                 2013-09-23
   language      dhg               dhg-2014-03-13.txt      2014-03-13
   language      dhg               dhg-2016-05-30.txt      2016-06-10
   language      dhv               dhv.txt                 2013-09-23
   language      dhx               dhx.txt                 2013-09-23
   language      dja               dja.txt                 2012-08-27
   language      djk               djk.txt                 2010-03-24
   language      djl               djl.txt                 2013-09-23
   language      dkl               dkl.txt                 2011-08-24
   language      dlk               dlk.txt                 2013-09-23
   language      dmb               dmb.txt                 2011-08-24
   language      dmc               dmc.txt                 2013-09-23
   language      dmd               dmd.txt                 2012-08-27
   language      dmo               dmo.txt                 2012-08-27
   language      dmw               dmw.txt                 2013-09-23
   language      dnj               dnj.txt                 2013-09-23
   language      dno               dno.txt                 2018-10-31
   language      dnv               dnv.txt                 2012-08-27
   language      dra               dra.txt                 2009-04-07
   language      drc               drc.txt                 2011-08-24
   language      drh               drh.txt                 2010-03-24
   language      dri               dri.txt                 2016-06-30
   language      drl               drl.txt                 2012-08-27
