                                                  Directory of language tag applications - OBSOLETE

   Last Updated
           2006-09-27

   Registration Procedure(s)

  No further registrations in this registry

   Reference
           [RFC4646]

   Note

 Applications are listed in alphabetical order below.

   Available Formats
           [IMG]
           CSV [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

       Tag     Application File
   art-lojban  art-lojban
   az-Arab     az-Arab
   az-Cyrl     az-Cyrl
   az-Latn     az-Latn
   be-Latn     be-Latn
   bs-Cyrl     bs-Cyrl
   bs-Latn     bs-Latn
   cel-gaulish cel-gaulish
   de-1901     de-1901
   de-1996     de-1996
   de-AT-1901  de-AT-1901
   de-AT-1996  de-AT-1996
   de-CH-1901  de-CH-1901
   de-CH-1996  de-CH-1996
   de-DE-1901  de-DE-1901
   de-DE-1996  de-DE-1996
   en-boont    en-boont
   en-GB-oed   en-GB-oed
   en-scouse   en-scouse
   es-419      es-419
   i-ami       i-ami
   i-bnn       i-bnn
   i-default   i-default
   i-enochian  i-enochian
   i-hak       i-hak
   i-klingon   i-klingon
   i-lux       i-lux
   i-mingo     i-mingo
   i-navajo    i-navajo
   i-pwn       i-pwn
   i-tao       i-tao
   i-tay       i-tay
   i-tsu       i-tsu
   iu-Cans     iu-Cans
   iu-Latn     iu-Latn
   mn-Cyrl     mn-Cyrl
   mn-Mong     mn-Mong
   no-bok      no-bok
   no-nyn      no-nyn
   sgn-BE-fr   sgn-BE-fr
   sgn-BE-nl   sgn-BE-nl
   sgn-BR      sgn-BR
   sgn-CH-de   sgn-CH-de
   sgn-CO      sgn-CO
   sgn-DE      sgn-DE
   sgn-DK      sgn-DK
   sgn-ES      sgn-ES
   sgn-FR      sgn-FR
   sgn-GB      sgn-GB
   sgn-GR      sgn-GR
   sgn-IE      sgn-IE
   sgn-IT      sgn-IT
   sgn-JP      sgn-JP
   sgn-MX      sgn-MX
   sgn-NL      sgn-NL
   sgn-NO      sgn-NO
   sgn-PT      sgn-PT
   sgn-SE      sgn-SE
   sgn-US      sgn-US
   sgn-ZA      sgn-ZA
   sl-rozaj    sl-rozaj
   sr-Cyrl     sr-Cyrl
   sr-Latn     sr-Latn
   tg-Arab     tg-Arab
   tg-Cyrl     tg-Cyrl
   uz-Cyrl     uz-Cyrl
   uz-Latn     uz-Latn
   yi-latn     yi-latn
   zh-cmn      zh-cmn
   zh-cmn-Hans zh-cmn-Hans
   zh-cmn-Hant zh-cmn-Hant
   zh-gan      zh-gan
   zh-guoyu    zh-guoyu
   zh-hakka    zh-hakka
   zh-Hans     zh-Hans
   zh-Hans-CN  zh-Hans-CN
   zh-Hans-HK  zh-Hans-HK
   zh-Hans-MO  zh-Hans-MO
   zh-Hans-SG  zh-Hans-SG
   zh-Hans-TW  zh-Hans-TW
   zh-Hant     zh-Hant
   zh-Hant-CN  zh-Hant-CN
   zh-Hant-HK  zh-Hant-HK
   zh-Hant-MO  zh-Hant-MO
   zh-Hant-SG  zh-Hant-SG
   zh-Hant-TW  zh-Hant-TW
   zh-min      zh-min
   zh-min-nan  zh-min-nan
   zh-wuu      zh-wuu
   zh-xiang    zh-xiang
   zh-yue      zh-yue
