                                                                    Registrar IDs

   Last Updated
           2015-06-19

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registry included below

     * Registrar IDs

Registrar IDs

   Registration Procedure(s)

 Assigned by ICANN

   Reference
           [Not defined by an RFC]

   Available Formats
           [IMG]
           CSV

     ID                                          Registrar Name                                          Status
      1    Reserved                                                                                    Accredited
      2    Network Solutions, LLC                                                                      Accredited
      3    Registry Installation                                                                       Accredited
      4    Advanced Systems Consulting, Inc.                                                           Terminated
      6    asf                                                                                         Terminated
      8    Test Registrar                                                                              Accredited
      9    register.com, Inc.                                                                          Accredited
     10    AT&T Corporation                                                                            Terminated
     11    Edge, Inc.                                                                                  Terminated
     12    Bazillion, Inc.                                                                             Terminated
     13    Melbourne IT, Ltd                                                                           Accredited
     14    ORANGE                                                                                      Accredited
     15    Corehub, S.R.L.                                                                             Accredited
     16    AOL LLC                                                                                     Terminated
     18    CADVision Development Corporation dba GetDomain.com                                         Terminated
     19    CommuniTech.Net, Inc.                                                                       Terminated
     22    eXtraActive, Inc.                                                                           Terminated
     25    FloridaNet, Inc. d/b/a ValueWeb                                                             Terminated
     26    HKNet Company Limited                                                                       Terminated
     27    Identity Defense, Inc.                                                                      Terminated
     28    InfoBack Corporation                                                                        Terminated
     30    NameSecure L.L.C.                                                                           Accredited
     31    DSTR Acquisition PA I, LLC dba DomainBank.com                                               Accredited
     44    Prodigy Communications Corporation                                                          Terminated
     45    RCN Corporation                                                                             Terminated
     47    REACTO.com Limited                                                                          Terminated
     48    eNom, Inc.                                                                                  Accredited
     49    GMO Internet Inc.                                                                           Accredited
     50    Telepartner A/S                                                                             Terminated
     51    Verio, Inc.                                                                                 Terminated
     52    Deluxe Small Business Sales, Inc. d/b/a Aplus.net                                           Accredited
     53    A Technology Company, Inc.                                                                  Accredited
     54    Signature Domains, LLC                                                                      Accredited
     56    Inquent Technologies, Inc. f/k/a WebHosting.com, Inc.                                       Terminated
     57    Advanced Internet Technologies, Inc. (AIT)                                                  Accredited
     58    AW Registry, Inc.                                                                           Terminated
     59    Tech Dogs, Inc.                                                                             Terminated
     60    Internet Domain Registrars d/b/a Registrars.com                                             Terminated
     61    Hosting.com, Inc.                                                                           Terminated
     62    WebTrends Corporation                                                                       Terminated
     63    eNom401, Incorporated                                                                       Terminated
     64    Domain Registration Services, Inc. dba dotEarth.com                                         Accredited
     65    DomainPeople, Inc.                                                                          Accredited
     66    Enameco, LLC                                                                                Accredited
     67    CASDNS Inc.                                                                                 Terminated
     68    NordNet SA                                                                                  Accredited
     69    Tucows Domains Inc.                                                                         Accredited
     70    Group NBT plc aka NetNames                                                                  Accredited
     71    Jiva Online Pty Ltd.                                                                        Terminated
     72    Dotster, Inc.                                                                               Accredited
     73    Domaininfo AB, aka domaininfo.com                                                           Accredited
     74    Online SAS                                                                                  Accredited
     75    Tech Electro Industries, Inc.                                                               Terminated
     76    Nominalia Internet S.L.                                                                     Accredited
     78    PSI-Japan, Inc.                                                                             Accredited
     79    Easyspace LTD                                                                               Accredited
     80    Virtualis Systems Inc.                                                                      Terminated
     81    Gandi SAS                                                                                   Accredited
     82    OnlineNIC, Inc.                                                                             Accredited
     83    1&1 Internet AG                                                                             Accredited
     84    UK-2 Limited                                                                                Accredited
     85    EPAG Domainservices GmbH                                                                    Accredited
     86    TierraNet Inc. d/b/a DomainDiscover                                                         Accredited
     87    HANGANG Systems, Inc. d/b/a doregi.com                                                      Accredited
     88    Namebay SAM                                                                                 Accredited
     89    Computer Data Networks dba Shop4domain.com and Netonedomains.com                            Terminated
     91    007Names, Inc.                                                                              Accredited
     93    GKG.NET, INC.                                                                               Accredited
     94    Parava Networks, Inc. dba 10-Domains.com                                                    Terminated
     97    DomainZoo.com, Inc.                                                                         Terminated
     98    EnetRegistry.com Corporation                                                                Terminated
     99    pair Networks, Inc. d/b/a pairNIC                                                           Accredited
     100   Whois Networks Co., Ltd.                                                                    Accredited
     101   #1 Domain Names International, Inc. dba 1dni.com                                            Terminated
     103   PacNames Ltd                                                                                Accredited
